num_date_time,answer
1 2020-08-25 00,8721.16
1 2020-08-25 01,8720.706
1 2020-08-25 02,8720.512
1 2020-08-25 03,8718.581
1 2020-08-25 04,8718.581
1 2020-08-25 05,8718.373
1 2020-08-25 06,8718.445
1 2020-08-25 07,8719.391
1 2020-08-25 08,8720.032
1 2020-08-25 09,8725.644
1 2020-08-25 10,8736.628
1 2020-08-25 11,8748.94
1 2020-08-25 12,8742.615
1 2020-08-25 13,8746.963
1 2020-08-25 14,8762.625
1 2020-08-25 15,8763.785
1 2020-08-25 16,8763.28
1 2020-08-25 17,8759.035
1 2020-08-25 18,8754.888
1 2020-08-25 19,8754.201
1 2020-08-25 20,8753.553
1 2020-08-25 21,8757.908
1 2020-08-25 22,8757.908
1 2020-08-25 23,8757.156
1 2020-08-26 00,8721.16
1 2020-08-26 01,8720.706
1 2020-08-26 02,8720.512
1 2020-08-26 03,8718.51
1 2020-08-26 04,8718.51
1 2020-08-26 05,8718.302
1 2020-08-26 06,8718.445
1 2020-08-26 07,8719.391
1 2020-08-26 08,8720.032
1 2020-08-26 09,8722.372
1 2020-08-26 10,8733.206
1 2020-08-26 11,8745.894
1 2020-08-26 12,8742.615
1 2020-08-26 13,8746.963
1 2020-08-26 14,8762.625
1 2020-08-26 15,8766.941
1 2020-08-26 16,8766.436
1 2020-08-26 17,8762.872
1 2020-08-26 18,8754.888
1 2020-08-26 19,8754.201
1 2020-08-26 20,8753.553
1 2020-08-26 21,8756.482
1 2020-08-26 22,8756.482
1 2020-08-26 23,8755.731
1 2020-08-27 00,8721.16
1 2020-08-27 01,8720.706
1 2020-08-27 02,8720.512
1 2020-08-27 03,8718.51
1 2020-08-27 04,8718.51
1 2020-08-27 05,8718.302
1 2020-08-27 06,8718.445
1 2020-08-27 07,8719.391
1 2020-08-27 08,8720.032
1 2020-08-27 09,8723.467
1 2020-08-27 10,8733.828
1 2020-08-27 11,8745.745
1 2020-08-27 12,8742.427
1 2020-08-27 13,8747.216
1 2020-08-27 14,8763.61
1 2020-08-27 15,8762.314
1 2020-08-27 16,8761.789
1 2020-08-27 17,8759.314
1 2020-08-27 18,8757.597
1 2020-08-27 19,8756.91
1 2020-08-27 20,8756.262
1 2020-08-27 21,8756.975
1 2020-08-27 22,8756.975
1 2020-08-27 23,8756.223
1 2020-08-28 00,8721.16
1 2020-08-28 01,8720.706
1 2020-08-28 02,8720.512
1 2020-08-28 03,8719.002
1 2020-08-28 04,8719.002
1 2020-08-28 05,8718.795
1 2020-08-28 06,8718.445
1 2020-08-28 07,8719.391
1 2020-08-28 08,8720.032
1 2020-08-28 09,8723.467
1 2020-08-28 10,8733.828
1 2020-08-28 11,8745.745
1 2020-08-28 12,8740.321
1 2020-08-28 13,8745.058
1 2020-08-28 14,8760.72
1 2020-08-28 15,8762.314
1 2020-08-28 16,8761.789
1 2020-08-28 17,8759.314
1 2020-08-28 18,8759.69
