num_date_time,answer
1 2020-08-25 00,8671.238
1 2020-08-25 01,8670.389
1 2020-08-25 02,8670.506
1 2020-08-25 03,8656.295
1 2020-08-25 04,8656.178
1 2020-08-25 05,8656.029
1 2020-08-25 06,8593.322
1 2020-08-25 07,8595.707
1 2020-08-25 08,8600.833
1 2020-08-25 09,8665.523
1 2020-08-25 10,8670.875
1 2020-08-25 11,8692.22
1 2020-08-25 12,8738.137
1 2020-08-25 13,8743.594
1 2020-08-25 14,8754.124
1 2020-08-25 15,8747.922
1 2020-08-25 16,8746.574
1 2020-08-25 17,8742.524
1 2020-08-25 18,8761.459
1 2020-08-25 19,8759.638
1 2020-08-25 20,8759.567
1 2020-08-25 21,8729.526
1 2020-08-25 22,8728.456
1 2020-08-25 23,8727.251
1 2020-08-26 00,8674.413
1 2020-08-26 01,8673.564
1 2020-08-26 02,8673.551
1 2020-08-26 03,8664.602
1 2020-08-26 04,8664.369
1 2020-08-26 05,8664.311
1 2020-08-26 06,8649.88
1 2020-08-26 07,8651.215
1 2020-08-26 08,8652.925
1 2020-08-26 09,8671.38
1 2020-08-26 10,8675.592
1 2020-08-26 11,8686.31
1 2020-08-26 12,8747.657
1 2020-08-26 13,8753.495
1 2020-08-26 14,8763.857
1 2020-08-26 15,8755.458
1 2020-08-26 16,8754.169
1 2020-08-26 17,8746.847
1 2020-08-26 18,8726.467
1 2020-08-26 19,8725.443
1 2020-08-26 20,8725.372
1 2020-08-26 21,8713.274
1 2020-08-26 22,8712.516
1 2020-08-26 23,8712.321
1 2020-08-27 00,8675.858
1 2020-08-27 01,8675.275
1 2020-08-27 02,8675.275
1 2020-08-27 03,8657.636
1 2020-08-27 04,8658.842
1 2020-08-27 05,8658.544
1 2020-08-27 06,8663.903
1 2020-08-27 07,8663.909
1 2020-08-27 08,8665.84
1 2020-08-27 09,8654.202
1 2020-08-27 10,8660.682
1 2020-08-27 11,8661.285
1 2020-08-27 12,8690.626
1 2020-08-27 13,8693.069
1 2020-08-27 14,8697.936
1 2020-08-27 15,8715.036
1 2020-08-27 16,8716.028
1 2020-08-27 17,8710.908
1 2020-08-27 18,8716.332
1 2020-08-27 19,8715.36
1 2020-08-27 20,8715.833
1 2020-08-27 21,8700.184
1 2020-08-27 22,8699.789
1 2020-08-27 23,8698.869
1 2020-08-28 00,8684.153
1 2020-08-28 01,8682.552
1 2020-08-28 02,8682.656
1 2020-08-28 03,8668.199
1 2020-08-28 04,8662.762
1 2020-08-28 05,8658.537
1 2020-08-28 06,8633.187
1 2020-08-28 07,8635.151
1 2020-08-28 08,8639.272
1 2020-08-28 09,8688.812
1 2020-08-28 10,8699.588
1 2020-08-28 11,8711.453
1 2020-08-28 12,8690.905
1 2020-08-28 13,8697.851
1 2020-08-28 14,8704.338
1 2020-08-28 15,8728.022
1 2020-08-28 16,8728.664
1 2020-08-28 17,8722.359
1 2020-08-28 18,8714.492
1 2020-08-28 19,8716.993
1 2020-08-28 20,8717.175
1 2020-08-28 21,8714.654
1 2020-08-28 22,8713.766
1 2020-08-28 23,8710.837
1 2020-08-29 00,8667.752
1 2020-08-29 01,8662.671
1 2020-08-29 02,8654.805
1 2020-08-29 03,8654.396
1 2020-08-29 04,8648.966
1 2020-08-29 05,8645.182
1 2020-08-29 06,8595.927
1 2020-08-29 07,8604.202
1 2020-08-29 08,8614.441
1 2020-08-29 09,8658.116
1 2020-08-29 10,8667.006
1 2020-08-29 11,8686.09
1 2020-08-29 12,8690.976
1 2020-08-29 13,8694.151
1 2020-08-29 14,8694.76
1 2020-08-29 15,8742.317
1 2020-08-29 16,8742.194
1 2020-08-29 17,8734.865
1 2020-08-29 18,8731.67
1 2020-08-29 19,8730.186
1 2020-08-29 20,8730.154
1 2020-08-29 21,8675.657
1 2020-08-29 22,8675.495
1 2020-08-29 23,8667.395
1 2020-08-30 00,8660.371
1 2020-08-30 01,8659.075
1 2020-08-30 02,8654.669
1 2020-08-30 03,8614.369
1 2020-08-30 04,8595.824
1 2020-08-30 05,8578.438
1 2020-08-30 06,8567.999
1 2020-08-30 07,8570.014
1 2020-08-30 08,8566.372
1 2020-08-30 09,8656.729
1 2020-08-30 10,8663.747
1 2020-08-30 11,8663.961
1 2020-08-30 12,8726.117
1 2020-08-30 13,8732.584
1 2020-08-30 14,8740.477
1 2020-08-30 15,8743.315
1 2020-08-30 16,8743.827
1 2020-08-30 17,8740.004
1 2020-08-30 18,8697.637
1 2020-08-30 19,8698.11
1 2020-08-30 20,8698.149
1 2020-08-30 21,8672.547
1 2020-08-30 22,8678.832
1 2020-08-30 23,8675.307
1 2020-08-31 00,8589.244
1 2020-08-31 01,8588.635
1 2020-08-31 02,8586.06
1 2020-08-31 03,8539.542
1 2020-08-31 04,8533.451
1 2020-08-31 05,8527.852
1 2020-08-31 06,8527.833
1 2020-08-31 07,8530.866
1 2020-08-31 08,8529.939
1 2020-08-31 09,8572.191
1 2020-08-31 10,8577.42
1 2020-08-31 11,8578.561
1 2020-08-31 12,8678.515
1 2020-08-31 13,8679.798
1 2020-08-31 14,8683.764
1 2020-08-31 15,8701.551
1 2020-08-31 16,8703.061
1 2020-08-31 17,8701.584
1 2020-08-31 18,8696.873
1 2020-08-31 19,8698.344
1 2020-08-31 20,8699.011
1 2020-08-31 21,8684.502
1 2020-08-31 22,8683.647
