num_date_time,answer
1 2020-08-25 00,8586.8005073384
1 2020-08-25 01,8565.724790581353
1 2020-08-25 02,8542.307765633755
1 2020-08-25 03,8507.026238540846
1 2020-08-25 04,8507.026238540846
1 2020-08-25 05,8507.026238540846
1 2020-08-25 06,8406.798614810472
1 2020-08-25 07,8475.396188933413
1 2020-08-25 08,8434.907508929333
1 2020-08-25 09,8468.57750725485
1 2020-08-25 10,8538.694224446897
1 2020-08-25 11,8538.694224446897
1 2020-08-25 12,8535.050280389833
1 2020-08-25 13,8538.842936053506
1 2020-08-25 14,8538.842936053506
1 2020-08-25 15,8568.724770592995
1 2020-08-25 16,8568.724770592995
1 2020-08-25 17,8502.081948972595
1 2020-08-25 18,8350.112062349168
1 2020-08-25 19,8469.621670287263
1 2020-08-25 20,8452.03084945665
1 2020-08-25 21,8493.145990663845
1 2020-08-25 22,8449.540185502363
1 2020-08-25 23,8449.540185502363
1 2020-08-26 00,8568.64984452566
1 2020-08-26 01,8547.574127768614
1 2020-08-26 02,8524.157102821016
1 2020-08-26 03,8523.131329728292
1 2020-08-26 04,8523.131329728292
1 2020-08-26 05,8523.131329728292
1 2020-08-26 06,8383.533544521442
1 2020-08-26 07,8452.131118644384
1 2020-08-26 08,8441.165368725684
1 2020-08-26 09,8475.108287690986
1 2020-08-26 10,8549.519659362239
1 2020-08-26 11,8549.519659362239
1 2020-08-26 12,8535.050280389833
1 2020-08-26 13,8538.842936053506
1 2020-08-26 14,8538.842936053506
1 2020-08-26 15,8538.842936053506
1 2020-08-26 16,8538.842936053506
1 2020-08-26 17,8472.200114433106
1 2020-08-26 18,8422.961915847556
1 2020-08-26 19,8515.099747625112
1 2020-08-26 20,8497.5089267945
1 2020-08-26 21,8486.23156102202
1 2020-08-26 22,8476.50756798543
1 2020-08-26 23,8476.50756798543
1 2020-08-27 00,8612.063897338241
1 2020-08-27 01,8590.988180581195
1 2020-08-27 02,8567.571155633597
1 2020-08-27 03,8520.189362496842
1 2020-08-27 04,8520.189362496842
1 2020-08-27 05,8520.189362496842
1 2020-08-27 06,8532.513635200408
1 2020-08-27 07,8601.111209323351
1 2020-08-27 08,8590.145459404652
1 2020-08-27 09,8585.782076543728
1 2020-08-27 10,8653.088405884748
1 2020-08-27 11,8653.088405884748
1 2020-08-27 12,8629.286522952547
1 2020-08-27 13,8633.07917861622
1 2020-08-27 14,8633.07917861622
1 2020-08-27 15,8648.198808552379
1 2020-08-27 16,8648.198808552379
1 2020-08-27 17,8581.555986931979
1 2020-08-27 18,8556.552801157026
1 2020-08-27 19,8577.937572057544
1 2020-08-27 20,8560.346751226933
1 2020-08-27 21,8551.973507309689
1 2020-08-27 22,8494.255808490685
1 2020-08-27 23,8494.255808490685
1 2020-08-28 00,8599.94449240757
1 2020-08-28 01,8584.64641184161
1 2020-08-28 02,8561.229386894012
1 2020-08-28 03,8549.0742582325
1 2020-08-28 04,8549.0742582325
